Name,Innings,Not_outs,Highest_score,Balls_faced,Strike_rate,Hundreds,Fifties,Ducks,Fours,Sixes,2022_Team,2023_Team,Country
David Miller,13,5,46,178,145.5,0,0,1,18,13,Gujarat Titans,Gujarat Titans,South Africa
Aiden Markram,13,2,50,197,125.88,0,1,1,18,8,Sunrisers Hyderabad,Sunrisers Hyderabad,India
Nehal Wadhera,10,1,64,166,145.18,0,2,1,23,12,Not in IPL,Mumbai Indians,India
Ayush Badoni,12,2,59*,172,138.37,0,1,0,13,12,Lucknow Super Giants,Lucknow Super Giants,India
Tim David,15,6,45*,146,158.21,0,0,2,12,15,Mumbai Indians,Mumbai Indians,Singapore
Rahmanullah Gurbaz,11,0,81,170,133.52,0,2,2,17,15,Not in IPL,Kolkata Knight Riders,Afghanistan
Andre Russell,14,3,42,156,145.51,0,0,1,13,18,Kolkata Knight Riders,Kolkata Knight Riders,West Indies
Abhishek Sharma,11,0,67,157,143.94,0,2,1,28,6,Sunrisers Hyderabad,Sunrisers Hyderabad,India
Phil Salt,9,1,87,133,163.9,0,2,2,24,10,Not in IPL,Delhi Capitals,England
Rilee Rossouw,9,2,82*,141,148.22,0,1,2,17,11,Not in IPL,Delhi Capitals,South Africa
Harry Brook,11,2,100*,154,123.37,1,0,3,23,4,Not in IPL,Sunrisers Hyderabad,England
Ravindra Jadeja,12,4,25*,133,142.85,0,0,0,11,9,Chennai Super Kings,Chennai Super Kings,India
Krunal Pandya,14,4,49*,165,113.93,0,0,3,15,6,Lucknow Super Giants,Lucknow Super Giants,India
Atharva Taide,7,0,66,129,144.18,0,2,1,20,6,Not in IPL,Punjab Kings,India
Abdul Samad,8,4,37*,128,132.03,0,0,0,10,11,Sunrisers Hyderabad,Sunrisers Hyderabad,India
Manish Pandey,9,0,50,146,109.58,0,1,2,15,3,Lucknow Super Giants,Delhi Capitals,India
Ambati Rayudu,12,2,27*,113,139.82,0,0,1,10,9,Chennai Super Kings,Chennai Super Kings,India
M. Shahrukh Khan,13,6,41*,94,165.95,0,0,0,13,9,Punjab Kings,Punjab Kings,India
Dhruv Jurel,11,4,34*,88,172.72,0,0,1,11,9,Not in IPL,Rajasthan Royals,India
Quinton de Kock,4,0,70,102,140.19,0,1,0,10,8,Lucknow Super Giants,Lucknow Super Giants,South Africa
Dinesh Karthik,13,1,30,104,134.61,0,0,4,13,5,Royal Challengers Bangalore,Royal Challengers Bangalore,India
Sikandar Raza,7,2,57,98,141.83,0,1,0,10,6,Not in IPL,Punjab Kings,Zimbabwe
Mahipal Lomror,10,2,54*,97,139.17,0,1,1,9,8,Royal Challengers Bangalore,Royal Challengers Bangalore,India
Rashid Khan,9,5,79*,60,216.66,0,1,2,8,13,Gujarat Titans,Gujarat Titans,Afghanistan
Mitchell Marsh,9,0,63,97,131.95,0,1,2,11,7,Delhi Capitals,Delhi Capitals,Australia
Moeen Ali,10,3,23,91,136.26,0,0,0,12,6,Chennai Super Kings,Chennai Super Kings,England
Matthew Short,6,0,36,92,127.17,0,0,0,15,4,Not in IPL,Punjab Kings,Australia
Anirudha Manohar,6,0,42,83,137.34,0,0,0,6,7,Not in IPL,Gujarat Titans,India
Shardul Thakur,10,2,68,70,161.42,0,1,2,13,4,Delhi Capitals,Kolkata Knight Riders,India
Aman Hakim Khan,9,1,51,101,108.91,0,1,1,7,6,Not in IPL,Delhi Capitals,India
Prithvi Shaw,8,0,54,85,124.7,0,1,2,16,1,Delhi Capitals,Delhi Capitals,India
Anmolpreet Singh,4,0,36,82,128.04,0,0,0,15,2,Not in IPL,Sunrisers Hyderabad,India
